geo;date;values
France;2001-05-01;99,1879659211928
Italie;2001-05-01;109,2715231788080
Allemagne;2001-06-01;102,1857051691129
Espagne;2001-06-01;109,9597747385358
France;2001-06-01;98,8152289669862
Italie;2001-06-01;109,4370860927152
Allemagne;2001-07-01;102,6802807913210
Espagne;2001-07-01;110,0563153660499
France;2001-07-01;98,8152289669862
Italie;2001-07-01;109,4370860927152
Allemagne;2001-08-01;102,8876834716018
Espagne;2001-08-01;110,1528559935639
France;2001-08-01;99,2811501597444
Italie;2001-08-01;109,4370860927152
Allemagne;2001-09-01;103,0791320995533
Espagne;2001-09-01;110,2654867256637
France;2001-09-01;98,3759318423855
Italie;2001-09-01;109,4370860927152
Allemagne;2001-10-01;103,0791320995533
Espagne;2001-10-01;110,6677393403057
France;2001-10-01;98,5356762513312
Italie;2001-10-01;109,4370860927152
Allemagne;2001-11-01;102,9834077855775
Espagne;2001-11-01;110,5711987127916
France;2001-11-01;98,4558040468583
Italie;2001-11-01;109,6026490066225
Allemagne;2001-12-01;103,0791320995533
Espagne;2001-12-01;110,8769106999195
France;2001-12-01;98,7220447284345
Italie;2001-12-01;109,6026490066225
Allemagne;2002-01-01;103,8768347160179
Espagne;2002-01-01;111,0860820595334
France;2002-01-01;99,2145899893504
Italie;2002-01-01;109,6026490066225
Allemagne;2002-02-01;103,8768347160179
Espagne;2002-02-01;111,2791633145615
France;2002-02-01;99,9334398296059
Italie;2002-02-01;111,9205298013245
Allemagne;2002-03-01;103,9566049776643
Espagne;2002-03-01;111,6975060337892
France;2002-03-01;99,7204472843450
Italie;2002-03-01;111,9205298013245
Allemagne;2002-04-01;103,7651563497128
Espagne;2002-04-01;111,6975060337892
France;2002-04-01;99,8535676251331
Italie;2002-04-01;112,0860927152318
Allemagne;2002-05-01;103,8768347160179
Espagne;2002-05-01;112,0032180209171
France;2002-05-01;100,2263045793397
Italie;2002-05-01;112,2516556291391
Allemagne;2002-06-01;103,8608806636886
Espagne;2002-06-01;112,0032180209171
France;2002-06-01;99,1214057507987
Italie;2002-06-01;112,2516556291391
Allemagne;2002-07-01;103,8608806636886
Espagne;2002-07-01;111,7940466613033
France;2002-07-01;99,8136315228967
Italie;2002-07-01;112,4172185430464
Allemagne;2002-08-01;103,8608806636886
Espagne;2002-08-01;112,1158487530169
France;2002-08-01;100,3194888178914
Italie;2002-08-01;112,5827814569536
Allemagne;2002-09-01;103,9566049776643
Espagne;2002-09-01;112,1158487530169
France;2002-09-01;99,3343982960596
Italie;2002-09-01;112,4172185430464
Allemagne;2002-10-01;103,9725590299936
Espagne;2002-10-01;112,2123893805310
France;2002-10-01;99,5740149094782
Italie;2002-10-01;112,4172185430464
Allemagne;2002-11-01;103,8449266113593
Espagne;2002-11-01;112,3089300080451
France;2002-11-01;99,5873269435570
Italie;2002-11-01;112,7483443708609
Allemagne;2002-12-01;103,8608806636886
Espagne;2002-12-01;112,5181013676589
France;2002-12-01;99,8136315228967
Italie;2002-12-01;112,9139072847682
Allemagne;2003-01-01;104,1161455009573
Espagne;2003-01-01;113,1295253419147
France;2003-01-01;100,2928647497338
Italie;2003-01-01;113,4105960264901
Allemagne;2003-02-01;103,8449266113593
Espagne;2003-02-01;113,4352373290426
France;2003-02-01;100,7987220447284
Italie;2003-02-01;113,4105960264901
Allemagne;2003-03-01;104,1161455009573
Espagne;2003-03-01;113,6444086886565
France;2003-03-01;100,4526091586794
Italie;2003-03-01;113,7417218543046
Allemagne;2003-04-01;104,2916400765795
Espagne;2003-04-01;113,7570394207562
France;2003-04-01;101,2380191693291
Italie;2003-04-01;114,0728476821192
Allemagne;2003-05-01;104,3714103382259
Espagne;2003-05-01;113,9501206757844
France;2003-05-01;101,8104366347178
Italie;2003-05-01;113,9072847682119
Allemagne;2003-06-01;104,4671346522017
Espagne;2003-06-01;114,1592920353982
France;2003-06-01;100,4925452609158
Italie;2003-06-01;113,9072847682119
Allemagne;2003-07-01;104,9617102744097
Espagne;2003-07-01;114,2719227674980
France;2003-07-01;101,7305644302449
Italie;2003-07-01;114,2384105960265
Allemagne;2003-08-01;105,0095724313976
Espagne;2003-08-01;114,0627514078842
France;2003-08-01;101,7705005324814
Italie;2003-08-01;114,2384105960265
Allemagne;2003-09-01;105,2807913209955
Espagne;2003-09-01;114,3684633950121
France;2003-09-01;100,7321618743344
Italie;2003-09-01;114,4039735099338
Allemagne;2003-10-01;105,4243777919592
Espagne;2003-10-01;113,9501206757844
France;2003-10-01;102,5825346112886
Italie;2003-10-01;113,7417218543046
Allemagne;2003-11-01;105,5520102105935
Espagne;2003-11-01;113,8535800482703
France;2003-11-01;101,9568690095847
Italie;2003-11-01;113,4105960264901
Allemagne;2003-12-01;105,5998723675814
Espagne;2003-12-01;114,1592920353982
France;2003-12-01;102,5825346112886
Italie;2003-12-01;113,4105960264901
Allemagne;2004-01-01;105,8710912571793
Espagne;2004-01-01;114,7707160096541
France;2004-01-01;102,1698615548456
Italie;2004-01-01;113,5761589403973
Allemagne;2004-02-01;105,9827696234844
Espagne;2004-02-01;114,9798873692679
France;2004-02-01;102,7422790202343
Italie;2004-02-01;113,2450331125828
Allemagne;2004-03-01;106,0625398851308
Espagne;2004-03-01;115,1890587288817
France;2004-03-01;101,8903088391906
Italie;2004-03-01;113,4105960264901
Allemagne;2004-04-01;106,0944479897894
Espagne;2004-04-01;115,1890587288817
France;2004-04-01;103,0883919062833
Italie;2004-04-01;113,4105960264901
Allemagne;2004-05-01;106,1104020421187
Espagne;2004-05-01;115,4947707160097
France;2004-05-01;103,1150159744409
Italie;2004-05-01;112,7483443708609
Allemagne;2004-06-01;106,1263560944480
Espagne;2004-06-01;115,9131134352373
France;2004-06-01;103,0617678381257
Italie;2004-06-01;112,5827814569536
Allemagne;2004-07-01;106,2061263560944
Espagne;2004-07-01;115,9131134352373
France;2004-07-01;102,2097976570820
Italie;2004-07-01;112,9139072847682
Allemagne;2004-08-01;106,1263560944480
Espagne;2004-08-01;115,9131134352373
France;2004-08-01;103,2348242811502
Italie;2004-08-01;112,9139072847682
Allemagne;2004-09-01;105,9189534141672
Espagne;2004-09-01;116,4119066773934
France;2004-09-01;103,2481363152290
Italie;2004-09-01;113,5761589403973
Allemagne;2004-10-01;105,9029993618379
Espagne;2004-10-01;116,1061946902655
France;2004-10-01;103,7007454739084
Italie;2004-10-01;113,7417218543046
Allemagne;2004-11-01;105,7594128908743
Espagne;2004-11-01;116,3153660498793
France;2004-11-01;103,7806176783812
Italie;2004-11-01;113,9072847682119
Allemagne;2004-12-01;105,5679642629228
Espagne;2004-12-01;116,6210780370072
France;2004-12-01;103,7140575079872
Italie;2004-12-01;114,4039735099338
Allemagne;2005-01-01;105,6796426292278
Espagne;2005-01-01;116,8302493966211
France;2005-01-01;101,9701810436635
Italie;2005-01-01;114,7350993377484
Allemagne;2005-02-01;105,9987236758137
Espagne;2005-02-01;116,9267900241352
France;2005-02-01;103,4611288604899
Italie;2005-02-01;115,0662251655629
Allemagne;2005-03-01;106,2380344607530
Espagne;2005-03-01;117,2485921158488
France;2005-03-01;102,9552715654952
Italie;2005-03-01;115,2317880794702
Allemagne;2005-04-01;106,2858966177409
Espagne;2005-04-01;117,2485921158488
France;2005-04-01;104,1267305644302
Italie;2005-04-01;115,5629139072848
Allemagne;2005-05-01;106,4454371410338
Espagne;2005-05-01;117,4416733708769
France;2005-05-01;103,9669861554845
Italie;2005-05-01;115,8940397350993
Allemagne;2005-06-01;106,4613911933631
Espagne;2005-06-01;117,3451327433629
France;2005-06-01;103,0085197018104
Italie;2005-06-01;115,7284768211921
Allemagne;2005-07-01;106,4294830887045
Espagne;2005-07-01;117,2485921158488
France;2005-07-01;103,3413205537806
Italie;2005-07-01;116,0596026490066
Allemagne;2005-08-01;106,5571155073389
Espagne;2005-08-01;117,4416733708769
France;2005-08-01;104,0468583599574
Italie;2005-08-01;116,0596026490066
Allemagne;2005-09-01;106,9400127632419
Espagne;2005-09-01;118,3748994368463
